modelo,q_norm,vazao,geracao_bruta,geracao_pos_processada,corte_mwmed,derivada_mw_por_m3s,derivada_alvo_mw_por_m3s
pinn_hidrologica,0.45454545454545453,10477.66495028409,11845.284738283117,11845.284738283117,0,1.0099633836761124,1.041822
pinn_hidrologica,0.46464646464646464,10662.031614977905,12029.856758948015,12029.856758948015,0,0.9922028217860072,1.041822
pinn_hidrologica,0.47474747474747475,10846.398279671717,12211.124704223264,12211.124704223264,0,0.9741417538515843,1.041822
pinn_hidrologica,0.48484848484848486,11030.76494436553,12389.0443965594,12389.0443965594,0,0.9559015286624085,1.041822
pinn_hidrologica,0.494949494949495,11215.131609059345,12563.593729415177,12563.593729415177,0,0.9375998394848033,1.041822
pinn_hidrologica,0.5050505050505051,11399.498273753157,12734.771791575171,12734.771791575171,0,0.919348571376487,1.041822
pinn_hidrologica,0.5151515151515151,11583.86493844697,12902.597615227787,12902.597615227787,0,0.9012518794088714,1.041822
pinn_hidrologica,0.5252525252525253,11768.231603140785,13067.108593800416,13067.108593800416,0,0.8834045329815846,1.041822
pinn_hidrologica,0.5353535353535354,11952.598267834595,13228.358620973984,13228.358620973984,0,0.8658905499639472,1.041822
pinn_hidrologica,0.5454545454545454,12136.964932528408,13386.41600566394,13386.41600566394,0,0.8487821335725069,1.041822
pinn_hidrologica,0.5555555555555556,12321.331597222223,13541.361219212637,13541.361219212637,0,0.8321389150964947,1.041822
pinn_hidrologica,0.5656565656565656,12505.698261916035,13693.28453080888,13693.28453080888,0,0.8160074971130256,1.041822
pinn_hidrologica,0.5757575757575758,12690.06492660985,13842.283585491881,13842.283585491881,0,0.8004212848108929,1.041822
pinn_hidrologica,0.5858585858585859,12874.43159130366,13988.460976280803,13946.316250000002,42.14472628080148,0.7854005875018089,1.041822
pinn_hidrologica,0.5959595959595959,13058.798255997473,14131.921858263971,13946.316250000002,185.60560826396977,0.770952968253645,1.041822
pinn_hidrologica,0.6060606060606061,13243.164920691288,14272.771648128512,13946.316250000002,326.45539812850984,0.7570738166844045,1.041822
pinn_hidrologica,0.6161616161616161,13427.5315853851,14411.113847825793,13946.316250000002,464.79759782579094,0.7437471181268313,0
