modelo,formulacao,grupo_features,periodo,n,rmse_mwmed,mae_mwmed,r2,bias_mwmed,tempo_treino_s,observacao
rf_absoluto,absoluto,operacional_lags_com_geracao,treino_2015_2022,2889,486.15,376.56,0.9430,-3.18,0.169440,Random Forest implementada em Rust
rf_absoluto,absoluto,operacional_lags_com_geracao,teste_2023_2024,731,557.52,427.40,0.8920,100.03,0.169440,Random Forest implementada em Rust
mlp_absoluto,absoluto,operacional_lags_com_geracao,treino_2015_2022,2889,578.76,446.80,0.9193,-0.44,6.294692,MLP janela temporal simples; epocas=1200; sem variaveis futuras
mlp_absoluto,absoluto,operacional_lags_com_geracao,teste_2023_2024,731,509.06,395.61,0.9100,40.65,6.294692,MLP janela temporal simples; epocas=1200; sem variaveis futuras
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,treino_2015_2022,2889,647.51,496.20,0.8990,-0.07,0.000000,regressao linear ridge sobre features normalizadas
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,teste_2023_2024,731,606.54,465.21,0.8722,60.66,0.000000,regressao linear ridge sobre features normalizadas
rf_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,treino_2015_2022,2889,541.93,421.36,0.9292,1.21,0.169203,Random Forest implementada em Rust
rf_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,teste_2023_2024,731,731.39,572.91,0.8141,223.07,0.169203,Random Forest implementada em Rust
mlp_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,treino_2015_2022,2889,601.42,464.94,0.9128,-0.04,6.159234,MLP janela temporal simples; epocas=1200; sem variaveis futuras
mlp_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,teste_2023_2024,731,604.85,469.95,0.8729,73.64,6.159234,MLP janela temporal simples; epocas=1200; sem variaveis futuras
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,treino_2015_2022,2889,590.94,453.29,0.9159,0.00,0.000000,regressao linear ridge sobre features normalizadas
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,teste_2023_2024,731,516.08,399.39,0.9075,23.39,0.000000,regressao linear ridge sobre features normalizadas
rf_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,treino_2015_2022,2889,485.98,372.14,0.9431,-1.14,0.176773,Random Forest implementada em Rust
rf_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,teste_2023_2024,731,512.39,395.60,0.9088,39.86,0.176773,Random Forest implementada em Rust
mlp_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,treino_2015_2022,2889,554.12,428.09,0.9260,-0.11,6.159136,MLP janela temporal simples; epocas=1200; sem variaveis futuras
mlp_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,teste_2023_2024,731,507.55,390.86,0.9105,20.99,6.159136,MLP janela temporal simples; epocas=1200; sem variaveis futuras
fator_efetivo_q_lag1,fator_efetivo,q_lag1,treino_2015_2022,2889,1600.22,1307.20,0.3829,-18.07,0.000000,"P ~= a + k_efetivo Q, ajustado no treino com variavel defasada"
fator_efetivo_q_lag1,fator_efetivo,q_lag1,teste_2023_2024,731,1759.22,1447.07,-0.0754,982.23,0.000000,"P ~= a + k_efetivo Q, ajustado no treino com variavel defasada"
fator_efetivo_q_ma7,fator_efetivo,q_ma7,treino_2015_2022,2889,1519.03,1245.02,0.4440,-21.79,0.000000,"P ~= a + k_efetivo Q, ajustado no treino com variavel defasada"
fator_efetivo_q_ma7,fator_efetivo,q_ma7,teste_2023_2024,731,1703.78,1383.83,-0.0087,972.55,0.000000,"P ~= a + k_efetivo Q, ajustado no treino com variavel defasada"
fator_efetivo_q_ma30,fator_efetivo,q_ma30,treino_2015_2022,2889,1479.05,1203.87,0.4728,-8.91,0.000000,"P ~= a + k_efetivo Q, ajustado no treino com variavel defasada"
fator_efetivo_q_ma30,fator_efetivo,q_ma30,teste_2023_2024,731,1679.91,1404.41,0.0194,974.45,0.000000,"P ~= a + k_efetivo Q, ajustado no treino com variavel defasada"
