vazao,geracao_l0,geracao_l02,geracao_l1
9555.831626815025,11763.933493735429,12779.235371238023,12836.38813418243
9740.198291508837,11814.013330080039,12960.636379934176,13028.991222487073
9924.564956202652,11859.517263949618,13141.349155472048,13221.236654696715
10108.931620896465,11900.624834838682,13321.007893975699,13412.93288365921
10293.298285590277,11937.512108209408,13499.172110420299,13603.850744372481
10477.66495028409,11970.351431622112,13675.332892896658,13793.720682082652
10662.031614977905,11999.311229664072,13848.921937263802,13946.316250000002
10846.398279671717,12024.55583471933,13946.316250000002,13946.316250000002
11030.76494436553,12046.245350703146,13946.316250000002,13946.316250000002
11215.131609059345,12064.535546983368,13946.316250000002,13946.316250000002
11399.498273753157,12079.57777982286,13946.316250000002,13946.316250000002
11583.86493844697,12091.51893879927,13946.316250000002,13946.316250000002
11768.231603140785,12100.501415787996,13946.316250000002,13946.316250000002
11952.598267834595,12106.663094227772,13946.316250000002,13946.316250000002
12136.964932528408,12110.137356525145,13946.316250000002,13946.316250000002
12321.331597222223,12111.053107590564,13946.316250000002,13946.316250000002
12505.698261916035,12109.534812634964,13946.316250000002,13946.316250000002
12690.06492660985,12105.702547488949,13946.316250000002,13946.316250000002
12874.43159130366,12099.672059836788,13946.316250000002,13946.316250000002
13058.798255997473,12091.554839883165,13946.316250000002,13946.316250000002
13243.164920691288,12081.458199091394,13946.316250000002,13946.316250000002
13427.5315853851,12069.485355747187,13946.316250000002,13946.316250000002
13611.898250078915,12055.73552621173,13946.316250000002,13946.316250000002
13796.264914772728,12040.304020831438,13946.316250000002,13946.316250000002
13980.63157946654,12023.282343569454,13946.316250000002,13946.316250000002
14164.998244160353,12004.758294515192,13946.316250000002,13946.316250000002
14349.364908854166,11984.816074514049,13946.316250000002,13946.316250000002
14533.73157354798,11963.536391238547,13946.316250000002,13946.316250000002
14718.098238241793,11940.996566096199,13946.316250000002,13946.316250000002
14902.464902935608,11917.270641437337,13946.316250000002,13946.316250000002
15086.831567629419,11892.429487589114,13946.316250000002,13946.316250000002
15271.198232323231,11866.540909299501,13946.316250000002,13946.316250000002
15455.564897017046,11839.669751228002,13946.316250000002,13946.316250000002
15639.931561710859,11811.878002168054,13946.316250000002,13946.316250000002
15824.298226404673,11783.224897730075,13946.316250000002,13946.316250000002
16008.664891098484,11753.767021253987,13946.316250000002,13946.316250000002
16193.031555792297,11723.558402756324,13946.316250000002,13946.316250000002
16377.398220486111,11692.650615749486,13946.316250000002,13946.316250000002
16561.764885179924,11661.092871800214,13946.316250000002,13946.316250000002
16746.13154987374,11628.9321127207,13946.316250000002,13946.316250000002
16930.49821456755,11596.213100309295,13946.316250000002,13946.316250000002
17114.864879261364,11562.97850357877,13946.316250000002,13946.316250000002
17299.231543955175,11529.268983428876,13946.316250000002,13946.316250000002
17483.59820864899,11495.123274736332,13946.316250000002,13946.316250000002
17667.964873342804,11460.578265849997,13946.316250000002,13946.316250000002
17852.33153803662,11425.669075491744,13946.316250000002,13946.316250000002
18036.69820273043,11390.429127074654,13946.316250000002,13946.316250000002
18221.06486742424,11354.890220459885,13946.316250000002,13946.316250000002
18405.431532118055,11319.082601181788,13946.316250000002,13946.316250000002
18589.79819681187,11283.03502717812,13946.316250000002,13946.316250000002
18774.16486150568,11246.774833068077,13946.316250000002,13946.316250000002
18958.531526199495,11210.327992026032,13946.316250000002,13946.316250000002
19142.89819089331,11173.719175303093,13946.316250000002,13946.316250000002
19327.264855587124,11136.971809451883,13946.316250000002,13946.316250000002
19511.631520280935,11100.108131312785,13946.316250000002,13946.316250000002
19695.998184974746,11063.149240821913,13946.316250000002,13946.316250000002
19880.36484966856,11026.115151702674,13946.316250000002,13946.316250000002
20064.731514362375,10989.02484010387,13946.316250000002,13946.316250000002
20249.09817905619,10951.896291247827,13946.316250000002,13946.316250000002
20433.46484375,10914.746544152516,13946.316250000002,13946.316250000002
