data,geracao_real_mwmed,persistencia_mwmed,mlp_absoluto_hidro_longo_mwmed,mlp_anomalia_mensal_hidro_longo_mwmed,ridge_residual_hidro_longo_mwmed,rf_residual_hidro_longo_mwmed,mlp_residual_hidro_longo_mwmed
2024-01-14,9867.1589,9690.2811,8465.7139,8987.1869,9693.8564,9940.9412,9698.9981
2024-01-15,10797.6733,9867.1589,8745.0693,9342.7936,9877.8299,9834.3851,9889.8780
2024-01-16,10849.1202,10797.6733,9015.4890,9439.4248,10780.3627,10722.7805,10775.4391
2024-01-17,10797.4685,10849.1202,9150.4101,9715.0115,10811.1277,10736.2352,10786.0042
2024-01-18,10858.4463,10797.4685,9457.3906,9720.3433,10680.5835,10676.3875,10690.2047
2024-01-19,10835.3354,10858.4463,9365.9447,9663.7067,10706.1653,10744.3241,10719.9644
2024-01-20,10596.9310,10835.3354,9231.1642,9678.5350,10833.5136,10727.6111,10824.6384
2024-01-21,10219.9045,10596.9310,9576.8441,10013.1043,10525.7986,10463.4829,10513.5116
2024-01-22,10966.2191,10219.9045,9603.8273,9914.0031,10268.2015,10273.8571,10281.4898
2024-01-23,10620.0033,10966.2191,9817.0955,10061.5532,10958.8198,11016.1021,10991.6255
2024-01-24,10447.4953,10620.0033,10002.9504,10357.4787,10639.3557,10585.6459,10657.6208
2024-01-25,10227.4702,10447.4953,9974.4160,10114.4734,10474.2058,10407.7696,10453.1322
2024-01-26,9676.4821,10227.4702,9992.8707,10145.0721,10236.7346,10155.1643,10238.8296
2024-01-27,8922.9501,9676.4821,10092.5978,10115.1204,9605.4933,9546.9766,9641.0754
2024-01-28,8098.0405,8922.9501,9869.3160,9986.1368,8937.2374,8824.9110,8955.2387
2024-01-29,8800.4552,8098.0405,9543.6423,9611.6142,8208.6323,8594.8660,8217.7369
2024-01-30,9335.5158,8800.4552,9719.9511,9755.1455,8824.1254,8875.8053,8820.1111
2024-01-31,9662.2675,9335.5158,9519.6475,9647.0774,9359.0215,9401.3409,9346.0337
2024-02-01,9684.4750,9662.2675,9303.6672,9715.3291,9494.1649,9616.3120,9489.3438
2024-02-02,9390.7547,9684.4750,9187.4565,9489.3242,9470.1017,9531.6268,9451.5513
2024-02-03,8837.6540,9390.7547,9025.8576,9097.7862,9233.9767,9943.7214,9215.7607
2024-02-04,8303.4938,8837.6540,8544.3458,8658.1998,8885.1938,9416.4148,8855.2225
2024-02-05,8561.9393,8303.4938,8423.9431,8556.3793,8473.7180,8448.3122,8427.6149
2024-02-06,9068.7354,8561.9393,8449.4761,8562.0243,8736.3260,8553.0353,8663.6914
2024-02-07,9005.5844,9068.7354,8490.5708,8671.3262,9009.0663,8988.6181,8955.1223
2024-02-08,9197.2381,9005.5844,8171.1345,8349.1769,8864.0003,8974.8771,8814.7197
2024-02-09,8328.8469,9197.2381,7963.8638,8278.7647,9067.5212,9205.9860,9027.0046
2024-02-10,7717.3350,8328.8469,7742.0372,8493.0513,8126.1439,8240.7204,8059.8414
2024-02-11,7354.3237,7717.3350,7442.8609,7975.4799,7681.9341,8067.0582,7628.0685
2024-02-12,7606.8037,7354.3237,7629.4992,8041.6315,7384.1658,7466.8276,7359.8683
2024-02-13,7780.2825,7606.8037,7847.9939,8261.2935,7711.7981,7637.2685,7673.8650
2024-02-14,7828.4393,7780.2825,8079.2243,8475.6826,7903.3659,7754.1761,7841.1482
2024-02-15,7487.2061,7828.4393,8076.5570,8542.1596,7888.0676,7796.1604,7819.3499
2024-02-16,7718.2468,7487.2061,8142.3022,8472.5166,7315.1802,7451.4786,7290.0585
2024-02-17,7359.1568,7718.2468,7816.0840,8233.5349,7566.2317,7666.4225,7532.2996
2024-02-18,7157.0464,7359.1568,7794.8542,8574.9918,7042.7640,7266.5509,7007.4180
2024-02-19,8107.4557,7157.0464,7554.4910,8325.4058,6908.6645,6988.6991,6852.6319
2024-02-20,8394.6204,8107.4557,7819.9986,8603.2376,7915.5895,7908.2733,7886.5337
2024-02-21,8803.2340,8394.6204,8044.9103,8833.8015,8312.3094,8181.8805,8274.3384
2024-02-22,9074.6118,8803.2340,8111.0768,8853.0907,8836.0056,8567.6231,8778.4710
2024-02-23,8291.9561,9074.6118,8357.2167,8945.0105,9229.8893,9054.0445,9163.3633
2024-02-24,7323.5617,8291.9561,8713.1039,9243.5263,8350.7835,8283.5225,8345.7008
2024-02-25,7141.8800,7323.5617,8597.7267,9019.1450,7457.6041,7603.3423,7473.6095
2024-02-26,7860.7159,7141.8800,8566.3454,8900.0767,7294.9174,7321.9487,7327.0689
2024-02-27,8637.6864,7860.7159,8654.4445,8793.2135,7971.4928,7945.9403,8021.5919
2024-02-28,8568.5221,8637.6864,8588.6396,8645.5874,8681.9632,8664.0166,8733.4013
2024-02-29,8942.3411,8568.5221,8479.7354,8574.0702,8544.3071,8577.1940,8590.6747
2024-03-01,9010.5626,8942.3411,8365.0168,8577.5630,8760.4814,8898.7194,8813.9955
2024-03-02,8603.3877,9010.5626,8389.3881,8465.6934,8828.9779,8932.6177,8852.9747
2024-03-03,8322.0447,8603.3877,8548.6777,8549.5590,8432.5021,8488.2356,8455.6642
2024-03-04,8710.0097,8322.0447,8632.4590,8352.1477,8274.8429,8379.5605,8273.5125
2024-03-05,8720.2966,8710.0097,8666.5841,8233.7276,8742.7066,9187.4037,8723.6959
2024-03-06,8271.7054,8720.2966,8750.5415,8578.1724,8686.9545,8612.7392,8673.0773
2024-03-07,8560.3129,8271.7054,8544.8754,8381.5469,8195.5500,8241.2206,8179.0446
2024-03-08,8001.4279,8560.3129,8367.6354,8164.0697,8479.0891,8640.6841,8464.2768
2024-03-09,7441.9416,8001.4279,8183.4492,8048.0042,7919.3536,7942.4137,7902.9050
2024-03-10,7268.4912,7441.9416,7727.7981,7780.8662,7413.9082,7386.5273,7378.0846
2024-03-11,7557.3735,7268.4912,7788.3431,7805.6160,7336.2731,7279.5060,7308.1376
2024-03-12,7422.3527,7557.3735,7949.1536,8068.8043,7500.4503,7550.1860,7497.1733
2024-03-13,7696.9342,7422.3527,7938.4210,8033.4774,7369.4226,7393.2198,7364.2965
2024-03-14,7821.7224,7696.9342,7980.4200,8066.0689,7657.5344,7696.0467,7648.5465
2024-03-15,7585.4775,7821.7224,7992.9089,8118.1820,7816.4109,7770.4955,7804.9467
2024-03-16,7186.8978,7585.4775,8049.3091,8235.8234,7616.5573,7527.2290,7594.5738
2024-03-17,6888.9971,7186.8978,8060.4429,8325.4252,7215.0411,7125.3537,7196.9681
2024-03-18,7283.8087,6888.9971,7777.0337,8164.1065,6854.8220,6877.5307,6833.5310
2024-03-19,7659.6658,7283.8087,7953.9080,8268.8435,7277.4800,7345.4273,7246.1470
2024-03-20,7495.5440,7659.6658,8070.3540,8426.5345,7646.0807,7629.1757,7616.2051
2024-03-21,6901.2994,7495.5440,8009.8612,8299.1832,7443.0676,7432.8751,7409.3766
2024-03-22,6866.5848,6901.2994,7991.0176,8176.5836,6792.3204,6803.3801,6759.8571
2024-03-23,6487.7186,6866.5848,8036.5939,8110.8911,6773.0411,6895.4886,6749.1572
2024-03-24,6105.9614,6487.7186,8049.4837,8160.9720,6435.1301,6490.9380,6422.0025
2024-03-25,7017.8974,6105.9614,8207.7254,8214.6969,6172.6536,6285.3108,6150.4994
2024-03-26,7533.0219,7017.8974,8396.6382,8398.4498,7109.0775,7003.3297,7089.9473
2024-03-27,7260.9182,7533.0219,8503.0542,8494.5329,7628.7075,7525.6490,7617.4876
2024-03-28,6779.5619,7260.9182,8547.7163,8580.1176,7301.2387,7248.0599,7307.2965
2024-03-29,6568.3605,6779.5619,8507.0705,8620.1471,6813.2187,6807.4984,6826.0767
2024-03-30,6854.1285,6568.3605,8476.2735,8700.8197,6616.8198,6590.6054,6627.1182
2024-03-31,6620.6170,6854.1285,8575.1069,8807.7189,6956.7691,6879.0074,6966.3348
2024-04-01,7094.0046,6620.6170,8258.5960,8240.6271,6766.4414,6637.2085,6759.0873
2024-04-02,6950.1573,7094.0046,8407.7433,8361.4263,7246.8876,7214.3818,7240.6869
2024-04-03,6957.8605,6950.1573,8568.5710,8434.9696,7086.3201,7037.3255,7085.2394
2024-04-04,6674.3977,6957.8605,8585.5146,8594.4325,7026.7924,6991.3747,7022.0785
2024-04-05,6608.6863,6674.3977,8561.1300,8530.7682,6715.5579,6694.8749,6711.6190
