data,vazao,ena_bruta,mes_sin,mes_cos,vazao_lag1,geracao_lag1,geracao,vazao_norm,ena_bruta_norm,vazao_lag1_norm,geracao_lag1_norm,geracao_norm
2019-09-06,6499.31494140625,7046.09179688,-1.0,-1.8369701987210297e-16,7455.800048828125,8789.004875,8992.722125,0.2365811403796236,0.056905162216062406,0.28898467953123413,0.4447943740406928,0.46672536774668333
2019-09-07,5722.68994140625,7155.03076172,-1.0,-1.8369701987210297e-16,6499.31494140625,8992.722125,7942.659458333333,0.19403170779795248,0.05948365417419131,0.2365811403796236,0.46672536774668333,0.3536818344496141
2019-09-08,5460.43994140625,7253.25683594,-1.0,-1.8369701987210297e-16,5722.68994140625,7942.659458333333,7456.970666666667,0.17966365539873372,0.061808581190221194,0.19403170779795248,0.3536818344496141,0.3013954530405198
2019-09-09,6141.77490234375,7227.01513672,-1.0,-1.8369701987210297e-16,5460.43994140625,7456.970666666667,8551.131958333333,0.2169923738741185,0.06118746265374723,0.17966365539873372,0.3013954530405198,0.4191863833661559
2019-09-10,7349.85009765625,7189.67382813,-1.0,-1.8369701987210297e-16,6141.77490234375,8551.131958333333,9889.920208333331,0.28317993424951,0.06030362587370496,0.2169923738741185,0.4191863833661559,0.5633124045273687
2019-09-11,8846.65478515625,7157.06787109,-1.0,-1.8369701987210297e-16,7349.85009765625,9889.920208333331,10451.50275,0.365186295284386,0.05953187080757028,0.28317993424951,0.5633124045273687,0.6237690579854628
2019-09-12,9029.7099609375,7156.10693359,-1.0,-1.8369701987210297e-16,8846.65478515625,10451.50275,11010.1585,0.3752154520339501,0.05950912624028296,0.365186295284386,0.6237690579854628,0.6839106303710386
2019-09-13,8074.125,6945.04003906,-1.0,-1.8369701987210297e-16,9029.7099609375,11010.1585,10398.590208333331,0.32286122976262355,0.054513353690285135,0.3752154520339501,0.6839106303710386,0.6180728068419801
2019-09-14,7416.68994140625,6951.96484375,-1.0,-1.8369701987210297e-16,8074.125,10398.590208333331,9959.102916666669,0.2868419299686924,0.054677257884078456,0.32286122976262355,0.6180728068419801,0.5707602055408902
2019-09-15,5688.43994140625,6797.54199219,-1.0,-1.8369701987210297e-16,7416.68994140625,9959.102916666669,9723.939916666666,0.19215523193647205,0.05102220129818557,0.2868419299686924,0.5707602055408902,0.5454439484596567
