data,geracao_mwmed,ena_bruta,ena_armazenavel,vazao
2019-09-03,8514.336708333334,6909.38623047,6907.55322266,6843.544921875
2019-09-04,8704.183708333332,7006.84814453,7005.01513672,7068.554931640625
2019-09-05,8789.004875,7126.33203125,7124.49902344,7455.800048828125
2019-09-06,8992.722125,7046.09179688,7044.25878906,6499.31494140625
2019-09-07,7942.659458333333,7155.03076172,7153.19824219,5722.68994140625
2019-09-08,7456.970666666667,7253.25683594,7251.42382813,5460.43994140625
2019-09-09,8551.131958333333,7227.01513672,7225.18212891,6141.77490234375
2019-09-10,9889.920208333331,7189.67382813,7187.84082031,7349.85009765625
2019-09-11,10451.50275,7157.06787109,7155.23486328,8846.65478515625
2019-09-12,11010.1585,7156.10693359,7154.27392578,9029.7099609375
2019-09-13,10398.590208333331,6945.04003906,6943.20703125,8074.125
2019-09-14,9959.102916666669,6951.96484375,6950.13183594,7416.68994140625
2019-09-15,9723.939916666666,6797.54199219,6795.70898438,5688.43994140625
2019-09-16,10589.148708333332,6662.04882813,6660.21582031,6154.0048828125
2019-09-17,11021.925833333333,6465.41894531,6463.5859375,7915.324951171875
2019-09-18,10568.222291666669,6375.36181641,6373.52880859,8411.81005859375
2019-09-19,10129.441333333334,6274.2578125,6272.42480469,7981.64501953125
2019-09-20,10362.53625,6201.31689453,6199.7890625,7612.675048828125
2019-09-21,8798.002541666667,6192.23681641,6188.87695313,7661.56494140625
2019-09-22,8047.010041666667,6062.34912109,6060.2109375,6488.139892578125
2019-09-23,8280.544625,5951.5390625,5748.74609375,5684.39990234375
2019-09-24,8593.080458333332,5907.03710938,5589.19580078,5922.64990234375
2019-09-25,8649.8335,5856.31689453,5559.52880859,5924.64990234375
2019-09-26,8785.758458333334,5880.77685547,5620.53808594,6322.39990234375
2019-09-27,9022.149833333331,5872.39501953,5653.32910156,7780.949951171875
2019-09-28,8473.590875,5925.59179688,5848.49023438,7547.25
2019-09-29,8117.323375,5937.55810547,5908.84082031,6831.25
2019-09-30,8830.996625,6021.40185547,5994.82324219,7477.985107421875
2019-10-01,9444.311958333334,6026.52978516,5999.33984375,7656.22021484375
2019-10-02,10012.235541666669,6040.61914063,6013.12402344,7729.93505859375
2019-10-03,10500.897041666669,6055.76904297,6029.80175781,7330.5
2019-10-04,10474.436583333334,6161.27001953,6131.63623047,7137.449951171875
2019-10-05,10163.178041666666,6258.08105469,6227.53076172,6674.39990234375
2019-10-06,9323.3215,6231.47900391,6201.23388672,5313.35009765625
2019-10-07,9864.637166666666,6218.30615234,6188.671875,5490.5048828125
2019-10-08,9398.512291666666,6114.02001953,6080.07177734,5708.25
2019-10-09,9091.779583333331,6095.2421875,6060.21923828,5428.25
2019-10-10,7598.477625,6038.43408203,6007.73681641,5640.35009765625
2019-10-11,7267.477333333333,5984.625,5955.296875,6459.0
2019-10-12,7754.81175,5946.34912109,5917.32617188,6635.925048828125
2019-10-13,8207.34675,5986.02001953,5958.52490234,5608.014892578125
2019-10-14,8566.375333333333,5995.63720703,5968.44824219,6260.074951171875
2019-10-15,8438.182208333334,5976.01416016,5948.82421875,7484.030029296875
2019-10-16,9303.9285,5982.6328125,5954.52685547,7012.02001953125
2019-10-17,9813.646625,6019.21386719,5990.49707031,6702.580078125
2019-10-18,9414.98,6077.07177734,6049.88183594,6872.625
2019-10-19,9149.727791666666,6073.80908203,6046.62011719,6147.97998046875
2019-10-20,9046.544333333331,6087.77978516,6060.28515625,5177.760009765625
2019-10-21,8843.645041666667,6129.56396484,6099.01416016,6259.614990234375
2019-10-22,8546.859,6116.40185547,6085.24121094,7314.969970703125
2019-10-23,9388.392166666668,6130.78515625,6099.62402344,7409.89501953125
2019-10-24,9908.392708333333,6118.0859375,6087.53613281,6850.465087890625
2019-10-25,10148.168666666666,6118.41601563,6088.78222656,6143.419921875
2019-10-26,9113.978458333331,6117.68310547,6088.96582031,5799.6201171875
2019-10-27,8488.450083333333,6044.68896484,6019.02685547,5330.75
